DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse,DeepLabCut_resnet50_mouse
Forelimb,Forelimb,Forelimb,Wrist joint,Wrist joint,Wrist joint,Hindlimb,Hindlimb,Hindlimb,Ankle joint,Ankle joint,Ankle joint
x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
228.6874995470973,186.3077407476364,0.9656757818331849,219.4627887667782,152.66293720065718,0.9455674636784085,239.60175979128613,106.01440523926075,0.8845783707064904,239.3537829942851,151.87773149654808,0.9309100537715126
232.1618817703937,185.38867185832237,1.0,218.14397170376003,151.97897821305,1.0,227.45295223936375,102.70126009711137,0.9210049206012964,239.02295276118306,153.08994000226656,0.9657021962779843
233.95566169501714,184.5274448335211,0.9093096826593746,223.032160182878,153.24795141845271,1.0,227.75768800737728,99.29988628102748,0.9708323378720789,236.95353561018595,149.43176848648673,0.9128389890820855
233.45659655984792,180.89283199674136,0.9706966504900414,225.13776191307983,142.54743942675682,0.870303996548593,232.0669605088415,101.79484674683236,0.958639989895441,237.831089956581,149.56850536156867,0.9637508191416898
235.01358720134434,182.96495498232827,0.9145621960050595,223.40053675896297,151.425140543113,0.8855825470912189,223.78890224613735,102.7659721273416,1.0,237.66103033221395,148.59936366158968,1.0
236.70321112179872,181.2266332919667,0.9777417550423767,220.0156295518495,145.20017791799785,1.0,220.31367705147295,97.98054299621685,0.8816884751680197,237.28348991612427,145.11103771987885,0.9556365943438861
233.18597175524684,180.07448567781978,0.9320732112719001,212.66719040314734,147.05698334685243,0.974732401509315,224.02422131006918,93.64916843906599,0.96287618141576,235.84923765971135,143.55077671718422,0.9794058802158064
236.8485220031683,182.07248420642222,0.9369246485433507,219.45676137618474,146.0801747499869,0.9336824484468256,219.63040856218217,97.90921738768256,0.9520639766364614,234.94594062003193,143.47897700610477,1.0
239.60813538478584,177.00734310601467,0.9881351166258955,221.2459555405487,143.81024017697075,0.9082428969690666,222.77041864058643,96.33821443307681,0.8097681663932308,237.67332995327632,141.68565058843117,0.8129180161946307
239.52192748464162,177.91940300977043,0.9218347076882764,222.13311550608898,142.10346883335222,0.9788251990455056,217.85794419430928,94.85614090799997,0.9324415450345324,236.18293865546315,140.632002444154,0.9456304193847533
240.3619473255253,172.63383691986718,1.0,218.18651766756315,140.44299052936142,1.0,216.2928662920568,89.1106639002324,0.9653311091616685,237.9268237206926,141.51925655842024,0.9765086692345462
240.4759039584772,173.08268566243288,0.9290227682825555,220.22593269411837,140.26975615566423,0.9125137295856152,213.14741808248095,96.63894620346016,0.9366850918819084,236.70945767751033,136.54838576621657,0.9426499049518999
238.1165348948129,173.7209785734153,0.9939872291345613,218.77545761416593,142.16348300975437,0.9319508171837514,217.22841947434674,95.12667234666957,1.0,235.62036190743177,136.19022911891514,0.9054686194516665
243.95030061162416,170.8798890639223,0.9356368439660195,220.90401781061408,151.6559719769162,0.9444986822572501,205.1573280714857,96.82550948753311,0.9374877862893126,237.04514848768056,131.96439624416124,1.0
